Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Cost_per_100km_EUR,FastCharge_Time_to_80pct_min,Performance_Score,Range_per_kWh_price,Price_Segment
CUPRA,el-Born,6.5,160,425,181,570.0,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000,5.43,35.8,31.38,9.44,Mid-Range (35-50K)
Renault,Zoe ZE50 R135,9.5,140,310,168,230.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133,5.04,64.7,24.53,9.36,Budget (<35K)
Mercedes,EQA,5.0,200,350,171,440.0,Yes,AWD,Type 2 CCS,SUV,C,5,45000,5.13,38.2,40.0,7.78,Mid-Range (35-50K)
Tesla,Model S Long Range,3.8,250,515,184,560.0,Yes,AWD,Type 2,Liftback,F,5,79990,5.52,44.1,51.32,6.44,Luxury (>70K)
Hyundai,Kona Electric 39 kWh,9.9,155,255,154,210.0,Yes,FWD,Type 2 CCS,SUV,B,5,33971,4.62,58.3,25.6,7.51,Budget (<35K)
Audi,e-tron Sportback 55 quattro,5.7,200,380,228,610.0,Yes,AWD,Type 2 CCS,SUV,E,5,81639,6.84,29.9,37.54,4.65,Luxury (>70K)
Skoda,CITIGOe iV,12.3,130,195,166,170.0,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534,4.98,55.1,21.13,7.95,Budget (<35K)
SEAT,Mii Electric,12.3,130,195,166,170.0,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129,4.98,55.1,21.13,9.69,Budget (<35K)
Kia,e-Soul 64 kWh,7.9,167,365,175,340.0,Yes,FWD,Type 2 CCS,SUV,B,5,36837,5.25,51.5,29.36,9.91,Mid-Range (35-50K)
Opel,Ampera-e,7.3,150,335,173,210.0,Yes,FWD,Type 2 CCS,MPV,B,5,41906,5.19,76.6,28.7,7.99,Mid-Range (35-50K)
Porsche,Taycan 4S,4.0,250,365,195,730.0,Yes,AWD,Type 2 CCS,Sedan,F,4,102945,5.85,24.0,50.0,3.55,Luxury (>70K)
Lightyear,One,10.0,150,575,104,540.0,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,3.12,51.1,25.0,3.86,Luxury (>70K)
Aiways,U5,9.0,150,335,188,350.0,Yes,FWD,Type 2 CCS,SUV,C,5,36057,5.64,45.9,26.11,9.29,Mid-Range (35-50K)
Audi,e-tron 55 quattro,5.7,200,365,237,590.0,Yes,AWD,Type 2 CCS,SUV,E,5,79445,7.11,29.7,37.54,4.59,Luxury (>70K)
Tesla,Roadster,2.1,410,970,206,920.0,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,6.18,50.6,88.62,4.51,Luxury (>70K)
Opel,Mokka-e,8.5,150,255,176,390.0,Yes,FWD,Type 2 CCS,SUV,B,5,35000,5.28,31.4,26.76,7.29,Budget (<35K)
Skoda,Enyaq iV 80,8.8,160,420,183,560.0,Yes,RWD,Type 2 CCS,SUV,C,5,40000,5.49,36.0,27.36,10.5,Mid-Range (35-50K)
Tesla,Model X Long Range,4.6,250,450,211,490.0,Yes,AWD,Type 2,SUV,F,7,85990,6.33,44.1,46.74,5.23,Luxury (>70K)
Honda,e Advance,8.3,145,170,168,190.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,5.04,42.9,26.55,4.73,Mid-Range (35-50K)
DS,3 Crossback E-Tense,8.7,150,250,180,380.0,Yes,FWD,Type 2 CCS,SUV,B,5,37422,5.4,31.6,26.49,6.68,Mid-Range (35-50K)
Renault,Twingo ZE,12.6,135,130,164,,No,RWD,Type 2,Hatchback,A,4,24790,4.92,,21.44,5.24,Budget (<35K)
Citroen,e-C4,9.7,150,250,180,380.0,Yes,FWD,Type 2 CCS,SUV,C,5,40000,5.4,31.6,25.31,6.25,Mid-Range (35-50K)
Tesla,Model S Performance,2.5,261,505,188,550.0,Yes,AWD,Type 2,Liftback,F,5,96990,5.64,44.1,66.1,5.21,Luxury (>70K)
Renault,Zoe ZE40 R110,11.4,135,255,161,230.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,4.83,53.2,22.27,8.72,Budget (<35K)
Tesla,Model Y Long Range Performance,3.7,241,410,177,900.0,Yes,AWD,Type 2 CCS,SUV,D,7,65620,5.31,21.9,51.13,6.25,Premium (50-70K)
Nissan,Ariya 87kWh,7.6,160,440,198,520.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,5.94,40.6,29.16,8.8,Mid-Range (35-50K)
Jaguar,I-Pace,4.8,200,365,232,340.0,Yes,AWD,Type 2 CCS,SUV,E,5,75351,6.96,51.5,40.83,4.84,Luxury (>70K)
Ford,Mustang Mach-E ER RWD,7.0,180,450,200,430.0,Yes,RWD,Type 2 CCS,SUV,D,5,54475,6.0,50.2,32.29,8.26,Premium (50-70K)
Porsche,Taycan 4S Plus,4.0,250,425,197,890.0,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,5.91,22.9,50.0,3.89,Luxury (>70K)
Nissan,e-NV200 Evalia,14.0,123,190,200,190.0,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,6.0,48.0,19.44,5.71,Budget (<35K)
Tesla,Cybertruck Dual Motor,5.0,190,460,261,710.0,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,7.83,31.1,39.0,8.36,Premium (50-70K)
Renault,Kangoo Maxi ZE 33,22.4,130,160,194,,No,FWD,Type 2,SPV,N,5,38000,5.82,,17.46,4.21,Mid-Range (35-50K)
Ford,Mustang Mach-E ER AWD,6.0,180,430,209,410.0,Yes,AWD,Type 2 CCS,SUV,D,5,62900,6.27,50.3,34.67,6.84,Premium (50-70K)
BMW,i3s 120 Ah,6.9,160,230,165,260.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,4.95,42.5,30.49,5.54,Mid-Range (35-50K)
Skoda,Enyaq iV 80X,7.0,160,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,C,5,45000,5.79,35.6,30.29,8.89,Mid-Range (35-50K)
Porsche,Taycan Cross Turismo,3.5,250,385,217,770.0,Yes,AWD,Type 2 CCS,Station,F,4,150000,6.51,24.0,53.57,2.57,Luxury (>70K)
Byton,M-Byte 95 kWh 4WD,5.5,190,390,244,460.0,Yes,AWD,Type 2 CCS,SUV,E,5,64000,7.32,40.7,37.18,6.09,Premium (50-70K)
Sono,Sion,9.0,140,225,156,270.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,4.68,40.0,25.11,8.82,Budget (<35K)
Kia,e-Niro 39 kWh,9.8,155,235,167,230.0,Yes,FWD,Type 2 CCS,SUV,C,5,34400,5.01,49.0,25.7,6.83,Budget (<35K)
Audi,Q4 Sportback e-tron,6.3,180,410,188,550.0,Yes,AWD,Type 2 CCS,SUV,D,5,57500,5.64,35.8,33.87,7.13,Premium (50-70K)
Smart,EQ forfour,12.7,130,95,176,,No,RWD,Type 2,Hatchback,A,4,22030,5.28,,20.87,4.31,Budget (<35K)
Ford,Mustang Mach-E SR AWD,6.0,180,340,206,360.0,Yes,AWD,Type 2 CCS,SUV,D,5,54000,6.18,45.3,34.67,6.3,Premium (50-70K)
Porsche,Taycan Turbo,3.2,260,390,215,810.0,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,6.45,23.1,57.25,2.63,Luxury (>70K)
Volkswagen,ID.3 1st,7.3,160,340,171,470.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,5.13,34.7,29.7,8.72,Mid-Range (35-50K)
Tesla,Model X Performance,2.8,250,440,216,480.0,Yes,AWD,Type 2,SUV,F,7,102990,6.48,44.0,60.71,4.27,Luxury (>70K)
Smart,EQ fortwo coupe,11.6,130,100,167,,No,RWD,Type 2,Hatchback,A,2,21387,5.01,,21.62,4.68,Budget (<35K)
Ford,Mustang Mach-E SR RWD,6.6,180,360,194,380.0,Yes,RWD,Type 2 CCS,SUV,D,5,46900,5.82,45.5,33.15,7.68,Mid-Range (35-50K)
Mercedes,EQV 300 Long,10.0,140,330,273,290.0,Yes,FWD,Type 2 CCS,SPV,N,7,70631,8.19,54.6,24.0,4.67,Luxury (>70K)
Fiat,500e Hatchback,9.0,150,250,168,330.0,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,5.04,36.4,26.11,7.16,Budget (<35K)
Tesla,Cybertruck Single Motor,7.0,180,390,256,740.0,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,7.68,25.3,32.29,8.67,Mid-Range (35-50K)
Audi,e-tron Sportback 50 quattro,6.8,190,295,219,470.0,Yes,AWD,Type 2 CCS,SUV,E,5,69551,6.57,30.1,33.71,4.24,Premium (50-70K)
Skoda,Enyaq iV vRS,6.2,180,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,C,5,47500,5.79,35.6,34.13,8.42,Mid-Range (35-50K)
Skoda,Enyaq iV 60,9.0,160,320,181,440.0,Yes,RWD,Type 2 CCS,SUV,C,5,37500,5.43,34.9,27.11,8.53,Mid-Range (35-50K)
Audi,e-tron S 55 quattro,4.5,210,320,270,510.0,Yes,AWD,Type 2 CCS,SUV,E,5,93800,8.1,30.1,43.22,3.41,Luxury (>70K)
Smart,EQ fortwo cabrio,11.9,130,95,176,,No,RWD,Type 2,Cabrio,A,2,24565,5.28,,21.4,3.87,Budget (<35K)
Kia,e-Soul 64 kWh,7.9,167,365,175,320.0,Yes,FWD,Type 2 CCS,SUV,B,5,36837,5.25,54.8,29.36,9.91,Mid-Range (35-50K)
Nissan,Ariya e-4ORCE 87kWh,5.7,200,420,207,500.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,6.21,40.3,37.54,7.3,Premium (50-70K)
Fiat,500e Convertible,9.0,150,250,168,330.0,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,5.04,36.4,26.11,6.6,Mid-Range (35-50K)
Volkswagen,ID.3 Pro Performance,7.3,160,340,171,470.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,5.13,34.7,29.7,9.56,Mid-Range (35-50K)
Kia,e-Soul 39 kWh,9.9,157,230,170,220.0,Yes,FWD,Type 2 CCS,SUV,B,5,33133,5.1,50.2,25.8,6.94,Budget (<35K)
Byton,M-Byte 72 kWh 2WD,7.5,190,325,222,420.0,Yes,RWD,Type 2 CCS,SUV,E,5,53500,6.66,37.1,32.33,6.07,Premium (50-70K)
Nissan,Ariya 63kWh,7.5,160,330,191,440.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,5.73,36.0,29.33,7.33,Mid-Range (35-50K)
Audi,e-tron S Sportback 55 quattro,4.5,210,335,258,540.0,Yes,AWD,Type 2 CCS,SUV,E,5,96050,7.74,29.8,43.22,3.49,Luxury (>70K)
Nissan,Ariya e-4ORCE 63kWh,5.9,200,325,194,440.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,5.82,35.5,36.95,6.5,Mid-Range (35-50K)
Nissan,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,6.96,40.0,39.61,5.77,Premium (50-70K)
Byton,M-Byte 95 kWh 2WD,7.5,190,400,238,480.0,Yes,AWD,Type 2 CCS,SUV,E,5,62000,7.14,40.0,32.33,6.45,Premium (50-70K)
